[2026-06-01 14:38:16] info Agent host supervisor logging to /home/systus/.vscode-server/cli/agent-host-stable.log
[2026-06-01 14:38:16] debug Resolved quality Stable to 8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e
[2026-06-01 14:38:16] debug Resolved server version: 1.122.1 (commit 8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e)
[2026-06-01 14:38:16] info Downloading server 8761a5560cfd65fdd19ce7e2bd18dab5c0a4d84e
[2026-06-01 14:38:16] trace Downloading server: 0/218316833 (0%)
[2026-06-01 14:38:18] trace Downloading server: 2105151/218316833 (1%)
[2026-06-01 14:38:19] trace Downloading server: 4207045/218316833 (2%)
[2026-06-01 14:38:20] trace Downloading server: 6312389/218316833 (3%)
[2026-06-01 14:38:21] trace Downloading server: 8417733/218316833 (4%)
[2026-06-01 14:38:21] trace Downloading server: 10518528/218316833 (5%)
[2026-06-01 14:38:22] trace Downloading server: 12621102/218316833 (6%)
[2026-06-01 14:38:23] trace Downloading server: 14720628/218316833 (7%)
[2026-06-01 14:38:24] trace Downloading server: 16825972/218316833 (8%)
[2026-06-01 14:38:25] trace Downloading server: 18927710/218316833 (9%)
[2026-06-01 14:38:26] trace Downloading server: 21033010/218316833 (10%)
[2026-06-01 14:38:51] trace Downloading server: 23138354/218316833 (11%)
[2026-06-01 14:38:52] trace Downloading server: 25242271/218316833 (12%)
[2026-06-01 14:38:53] trace Downloading server: 27347615/218316833 (13%)
[2026-06-01 14:38:54] trace Downloading server: 29448256/218316833 (13%)
[2026-06-01 14:38:54] trace Downloading server: 31546688/218316833 (14%)
[2026-06-01 14:38:55] trace Downloading server: 33648192/218316833 (15%)
[2026-06-01 14:38:56] trace Downloading server: 35749888/218316833 (16%)
[2026-06-01 14:38:57] trace Downloading server: 37855232/218316833 (17%)
[2026-06-01 14:38:58] trace Downloading server: 39959936/218316833 (18%)
[2026-06-01 14:38:59] trace Downloading server: 42060800/218316833 (19%)
[2026-06-01 14:39:14] trace Downloading server: 44162304/218316833 (20%)
[2026-06-01 14:39:14] trace Downloading server: 46263296/218316833 (21%)
[2026-06-01 14:39:14] trace Downloading server: 48364800/218316833 (22%)
[2026-06-01 14:39:15] trace Downloading server: 50466496/218316833 (23%)
[2026-06-01 14:39:16] trace Downloading server: 52570496/218316833 (24%)
[2026-06-01 14:39:17] trace Downloading server: 54668928/218316833 (25%)
[2026-06-01 14:39:18] trace Downloading server: 56770560/218316833 (26%)
[2026-06-01 14:39:19] trace Downloading server: 58871424/218316833 (27%)
[2026-06-01 14:39:21] trace Downloading server: 60972992/218316833 (28%)
[2026-06-01 14:39:23] trace Downloading server: 63077632/218316833 (29%)
[2026-06-01 14:41:39] trace Downloading server: 65179328/218316833 (30%)
[2026-06-01 14:41:40] trace Downloading server: 67283968/218316833 (31%)
